token	tag	lemma	lttr
pornografía	NC	<unknown>	11
.	FS	.	1
Más	ADV	más	3
que	CQUE	que	3
excitarse	VLinf	<unknown>	9
en	PREP	en	2
la	ART	el	2
contemplación	NC	contemplación	13
de	PREP	de	2
los	ART	el	3
otros	QU	otro	5
,	CM	,	1
en	PREP	en	2
la	ART	el	2
inminencia	NC	inminencia	10
del	PDEL	del	3
abrazo	NC	abrazo	6
,	CM	,	1
se	SE	se	2
les	PPC	él	3
ve	VLfin	ver	2
muy	ADV	muy	3
ensimismados	VLadj	<unknown>	12
,	CM	,	1
muy	ADV	muy	3
distraídos	ADJ	distraído	10
,	CM	,	1
como	CSUBX	como	4
en	PREP	en	2
otra	QU	otro	4
cosa	NC	cosa	4
.	FS	.	1
Se	SE	se	2
les	PPC	él	3
podrían	VMfin	poder	7
agregar	VLinf	agregar	7
teléfonos	NC	teléfono	9
móviles	ADJ	móvil	7
,	CM	,	1
pantallas	NC	pantalla	9
a	PREP	a	1
las	ART	el	3
que	CQUE	que	3
miren	VLfin	mirar	5
fascinados	VLadj	<unknown>	10
,	CM	,	1
con	PREP	con	3
una	ART	un	3
unanimidad	NC	unanimidad	10
como	CSUBX	como	4
la	ART	el	2
de	PREP	de	2
sus	PPO	suyo	3
caras	NC	cara	5
y	CC	y	1
sus	PPO	suyo	3
cuerpos	NC	cuerpo	7
,	CM	,	1
como	CSUBX	como	4
la	ART	el	2
mayor	ADJ	grande	5
parte	NC	parte	5
de	PREP	de	2
la	ART	el	2
gente	NC	gente	5
con	PREP	con	3
la	ART	el	2
que	CQUE	que	3
me	PPX	yo	2
cruzo	VLfin	cruzar	5
por	PREP	por	3
las	ART	el	3
praderas	NC	pradera	8
y	CC	y	1
las	ART	el	3
arboledas	NC	arboleda	9
del	PDEL	del	3
parque	NC	parque	6
al	PAL	al	2
salir	VLinf	salir	5
de	PREP	de	2
la	ART	el	2
exposición	NC	exposición	10
.	FS	.	1
Van	VLfin	ir	3
por	PREP	por	3
el	ART	el	2
paraíso	NC	paraíso	7
aproximadamente	ADV	aproximado	15
como	CSUBX	como	4
van	VLfin	ir	3
por	PREP	por	3
el	ART	el	2
Retiro	NP	<unknown>	6
los	ART	el	3
buscadores	NC	buscador	10
de	PREP	de	2
pokémons	NC	<unknown>	8
.	FS	.	1
En	PREP	en	2
un	ART	un	2
horizonte	NC	horizonte	9
al	PAL	al	2
que	CQUE	que	3
no	NEG	no	2
llega	VLfin	llegar	5
la	ART	el	2
mirada	NC	mirada	6
arden	VLfin	arder	5
mientras	CSUBX	mientras	8
tanto	QU	tanto	5
ciudades	NC	ciudad	8
y	CC	y	1
bosques	NC	bosque	7
y	CC	y	1
hay	VHfin	haber	3
columnas	NC	columna	8
de	PREP	de	2
fugitivos	NC	fugitivo	9
por	PREP	por	3
los	ART	el	3
caminos	NC	camino	7
.	FS	.	1
